epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_mean_gate,train_mean_expert_js_divergence,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_mean_gate,val_mean_expert_js_divergence,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,3.204921547067863,1.1129222371257845,1.1198443240756217,2.5131984074190545,0.08660420816534818,0.5054689299498323,0.588088264397938,1.0935571920629756,0.7701795686113216,0.8031522722337054,0.02025460927907957,2.3265391324539424,0.8705377608444832,0.8986048973237986,2.0513367348370894,0.07358546121005329,0.23342526404657096,0.1632212125623709,0.3966464762375734,0.0,0.9127675725895668,0.01714541211793607,0.6503115264797508,0.6290278512965248,0.6539516084085691,0.6336395065586399,0.0001
2,2.443777448197896,0.830890020574625,0.8424406041836623,1.9729043129325974,0.0609658080537664,0.392937205918102,0.42651988353440873,0.8194570889350572,0.7013907774525427,0.9530738815827731,0.014174990414190783,2.0183124126303604,0.7586171337377245,0.7680087427483913,1.7734570833752832,0.048307353648069866,0.20520419184106903,0.1470634380233622,0.3522676288895889,0.0,0.9254005043491768,0.011412973758518791,0.6931464174454829,0.6750688318884372,0.6896560442677973,0.6791154876156732,0.0001
3,2.075757916092453,0.7034237125719419,0.7135918990534997,1.6954986057391883,0.048989919381585825,0.3341906929132103,0.3483851665174415,0.682575859473148,0.6290814940350665,0.8559432676159792,0.011598341863311308,1.9053794019318815,0.7260280407477762,0.7433893479105097,1.6524216482572467,0.04670233855087809,0.19592089421838244,0.1293250239712427,0.32524591828246724,0.0,0.6486467309499223,0.011337400110306728,0.719626168224299,0.7009477231004348,0.7284056206882144,0.7097159265732674,0.0001
4,1.7837861843145928,0.6019959763339894,0.6124411757821066,1.498608174509619,0.0434435450198056,0.2912554842409142,0.25880745935555804,0.5500629424568871,0.5736736855017341,0.7136742542695452,0.010442715260633149,1.836924024088732,0.697589584135935,0.6925934334967366,1.5867180003555392,0.047434444675610817,0.19473352438749925,0.14143372389757744,0.336167246637129,0.0,0.610100055753175,0.011699246250922063,0.7305295950155763,0.7109184328955386,0.7231431565467826,0.7149911820966154,0.0001
5,1.5226479333792131,0.4928252433214666,0.5078560670056893,1.3431018240558603,0.0405399030316018,0.2521245555926881,0.20238298424118853,0.45450753824480067,0.5498985605259067,0.6328178257154133,0.009739429081136565,1.9473530852534688,0.7643084927139995,0.7565725305555766,1.6109372537084086,0.04124990763647534,0.2065945590071589,0.16202114322846553,0.3686156995896238,0.0,0.5544988362664774,0.010045191184929966,0.7079439252336449,0.6887402019369637,0.7121596576930316,0.6935915484297716,0.0001
6,1.3381991429609694,0.4286099204959495,0.44509838129765755,1.215522812709095,0.03802926016034366,0.22254182078847948,0.15095877395516283,0.37350059470520824,0.5195449681574817,0.5597200953071909,0.00927825630498882,1.9166502570066126,0.7619497960787325,0.7665033665401542,1.54265438879019,0.0485464075458384,0.2097091590318353,0.16407641276392237,0.3737855720742841,0.0,0.5380012367424905,0.01186747666116125,0.7281931464174455,0.7123593903260004,0.7334474209949071,0.7175808641631588,0.0001
7,1.1962199259516257,0.37821639329070034,0.3979944733240684,1.1108144513913958,0.0359677409441044,0.19136796267370393,0.12763385584312628,0.3190018182691962,0.49137540833299304,0.5112867893226112,0.008789993776134162,1.9715453707540518,0.7899947554058746,0.7792116060063846,1.5925951200853627,0.05200721806269197,0.214877313401875,0.15562157657844627,0.3704988904677424,0.0,0.36350131554909776,0.012729697794225267,0.7172897196261683,0.7049781366886767,0.7200980027904572,0.705519483690972,0.0001
8,1.0275108259589334,0.31212606433153434,0.32967605238826936,1.001748236478365,0.03460793835191424,0.1592845159512956,0.09797715445392065,0.2572616705571899,0.479973036857724,0.4947739111406574,0.008453047067147805,2.0173544571778486,0.8133525354468563,0.7987146086039202,1.5720669279960087,0.04632832313600545,0.24690401363781309,0.1804099342440519,0.42731394652985155,0.0,0.4760770345343711,0.011337015458026007,0.7313084112149533,0.709117952178649,0.7276454498300499,0.7161401562261639,0.0001
9,0.942299385435568,0.2812058541513173,0.30299207511673715,0.9366196890922025,0.030381624993249947,0.13610820265915236,0.09188681069909235,0.227995013420993,0.466872230019671,0.36594688320229507,0.007493595831851193,2.011948778250507,0.8107019200503269,0.7990059593570566,1.5829129809531095,0.04324802557279202,0.24379517941959086,0.16763296259155155,0.4114281419763266,0.0,0.3109928757010506,0.010766322535367188,0.7390965732087228,0.7239716476522537,0.7223555310084131,0.7220697476664142,0.0001
10,0.8455073876461713,0.2474209792290812,0.26257132193002697,0.8733610965085298,0.030039058751374297,0.11444356216118053,0.07107468797886443,0.18551825012307382,0.43004113223764284,0.33470287503927815,0.0073464899804578316,2.118412843745817,0.8628841640421906,0.854143038438488,1.6137568434450857,0.0471695133824354,0.2646611786775314,0.19613395255302715,0.4607951318572429,0.0,0.390527593441704,0.011652428856542411,0.7383177570093458,0.7265131406063978,0.7439605251789905,0.7288539396410927,0.0001
11,0.7803857490092871,0.22732347483463763,0.247113579772619,0.803403358834639,0.027828679592694697,0.10386325494086908,0.06973541030899352,0.1735986657046948,0.43035741474600053,0.3243488169782139,0.006880684571433033,2.1272678813458974,0.8743230431250694,0.8734821544443707,1.6188640133985477,0.04892638693578147,0.26819166821946977,0.1723076335018112,0.4404993032183603,0.0,0.37736065337230684,0.012036241913186287,0.735981308411215,0.7224046317366821,0.7379265872884968,0.7249260386607529,0.0001
12,0.7098647852088756,0.20298398732439102,0.2197066193930536,0.7363343936367895,0.027449852266223755,0.10277742377096921,0.059306501849060424,0.1620839247740949,0.4203359130704349,0.3115451842357554,0.006787327179244033,2.1333164700837894,0.8700237028602499,0.8493927849973102,1.636747050136792,0.044272301904276896,0.27480569654187864,0.18148189328169897,0.4562875914251043,0.0,0.34098983897231394,0.010993758486712418,0.7507788161993769,0.736962227718855,0.7437484746265384,0.7380911486453339,0.0001
13,0.6330644544129643,0.17348896968291722,0.19175571322596088,0.678107714866996,0.02661403205237609,0.09323232871103913,0.04661026693489868,0.13984259580913666,0.40512252357897593,0.26758284888408584,0.006546577944694653,2.1572774635668486,0.8860096054331535,0.871348705734605,1.6156835639588187,0.04292419548741196,0.2778550266894596,0.20473796709489972,0.4825929937321356,0.0,0.3156132620127293,0.010506336949313974,0.7375389408099688,0.7194363449419299,0.7221445938741264,0.7202867731596884,0.0001
14,0.5944338988045922,0.16442290185129677,0.18473009796520345,0.6352094130225279,0.025298159919470434,0.0849077332937661,0.04248016605010951,0.1273878995792225,0.4068773886817871,0.27510877976903525,0.006241583198847424,2.1862350477607824,0.8932978212833405,0.8868521146035269,1.6476045434720048,0.04945676678623366,0.2794705095622584,0.2054819824214665,0.48495249192569856,0.0,0.2791082893589,0.012011828759210362,0.7297507788161994,0.7083644080413203,0.7236504605259644,0.7129985741495364,0.0001
15,0.570397714783813,0.15460672599995143,0.17152081029119357,0.6094625754617161,0.022663948428453845,0.08158237921444937,0.05024383122682448,0.13182621008896664,0.40291952011949606,0.26302999163914226,0.005687867879547349,2.2937216743873288,0.9342151687384765,0.9196894209240084,1.7355098707653651,0.049612997581375724,0.2745893826893882,0.23914642511312836,0.5137358097289907,0.0,0.2568431525381142,0.011997145140550825,0.7484423676012462,0.7244078197656287,0.7435117366024597,0.7319103393572515,0.0001
16,0.5250670944928443,0.14031995803860187,0.16132385949023798,0.574787302227993,0.026768408416689312,0.06906009101154756,0.0396312698649724,0.10869136040625949,0.3892883484124777,0.2590383856435737,0.006553439585980174,2.2729888285431907,0.931650394521584,0.9255024503881686,1.7111255777216403,0.04704232573091427,0.28622375095025215,0.2131678403537964,0.4993915905642129,0.0,0.3324297938452202,0.011344275725385235,0.7375389408099688,0.7120617890062055,0.7274573905487008,0.7183138391012964,5e-05
17,0.46082481582419543,0.12525647034847662,0.14370026505047434,0.49274156340975184,0.023534756231939926,0.06331159039176795,0.0385264514370421,0.10183804184537412,0.3731494493941256,0.27506612155091165,0.005857008026226652,2.251215337035812,0.9269547871432943,0.9360509923314009,1.6817332257362911,0.04813948259732433,0.26037010733281896,0.2287643479409619,0.4891344586160974,0.0,0.29599626185816474,0.011647279545703455,0.7492211838006231,0.7311257992878202,0.7329685302283293,0.730512898827266,5e-05
18,0.39855631672482106,0.1007209628601064,0.11916104454664031,0.45915698564166574,0.02106344819489496,0.041120173952872215,0.0316003338696757,0.07272050769759332,0.3736009734616026,0.2399424275936651,0.005257874572764391,2.2673707721389342,0.9326884883029438,0.9277813951035155,1.695114384187716,0.049077425140458104,0.2861902978720225,0.21435371749799384,0.5005440172961277,0.0,0.2381832803446404,0.011577981596225724,0.7507788161993769,0.7372196934086672,0.7312907234107793,0.7334422190361819,5e-05
19,0.38387088948819204,0.09807503451523696,0.11587064971091503,0.4406321077933949,0.01977235070281162,0.04325603288685851,0.025813775288775775,0.06906980833378032,0.36100167440020225,0.23046936524047992,0.004852954947554424,2.326953483333469,0.9558455132853205,0.9368094508985864,1.7237484107879093,0.046059490384235166,0.3067287082602183,0.23412222176140343,0.5408509269317198,0.0,0.20233670141945787,0.011101093160595129,0.7484423676012462,0.7288078950126825,0.731475749695805,0.7293892898614669,5e-05
20,0.33252697444126084,0.07850245935312755,0.09274447967798753,0.39710629874778824,0.019186604544307897,0.03551362028605286,0.02521954857364704,0.060733168959621366,0.3592867785963191,0.203341903178727,0.0047342676134998225,2.319499776742169,0.9478127096440191,0.9565353642371585,1.7358776891714316,0.04777940211823425,0.2924540555017574,0.22721883835636567,0.5196728943266856,0.0,0.22030928333171534,0.011470455402191363,0.7562305295950156,0.7357508375588111,0.7404928757260074,0.7374695003705684,2.5e-05
