epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_gate_regret_loss,train_mean_gate,train_mean_expert_js_divergence,train_gate_selection_accuracy,train_one_right_gate_selection_accuracy,train_mean_routing_regret_nll,train_mean_weighted_gate_error,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_gate_regret_loss,val_mean_gate,val_mean_expert_js_divergence,val_gate_selection_accuracy,val_one_right_gate_selection_accuracy,val_mean_routing_regret_nll,val_mean_weighted_gate_error,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,3.3516389980469747,1.1212244599462655,1.124267956451009,2.5082406444130396,0.08077784101723265,0.5039015822493776,0.5884392150865068,1.0923407982907987,0.696094422407587,0.7136960389069754,0.6099324913767635,0.01901358969058978,0.5829558798859252,0.5730061349693252,0.12317640501110584,0.03857050168133499,2.393368632622597,0.8737127762345881,0.9064545323172833,2.034448553097211,0.06310213862039218,0.23286872229472128,0.16418130004146017,0.39705002224333935,0.0,0.7098273365668418,0.5879408144087435,0.014695205524977635,0.5755451713395638,0.5133689839572193,0.106335025457513,0.03809146911299646,0.6448598130841121,0.623273692439764,0.647813509369018,0.6275669261951263,0.0001
2,2.573521495525358,0.8344585520971983,0.849132192092861,1.9666647694291255,0.05092678603326698,0.39279701063655365,0.4265330872081146,0.8193300996245083,0.5841661702427182,0.7027316470110982,0.5453022523797052,0.011887244639151754,0.5405133366884751,0.50997150997151,0.09491870255853432,0.036094512843162146,2.0765149426237444,0.7531957182557412,0.7732220007994465,1.7612849455384822,0.039774093405572794,0.20318606286962457,0.14850909371985083,0.3516951558467384,0.0,0.6954625744685948,0.502519363044207,0.009429677910277597,0.5428348909657321,0.5283018867924528,0.08093561809114234,0.031702974741958566,0.6970404984423676,0.6760108817975867,0.6884666189756742,0.6800902429890137,0.0001
3,2.1905705123274863,0.7033230743738573,0.7193063412750953,1.6895966547844574,0.03961318381901876,0.3321339863295764,0.34886708696393276,0.6810010744009096,0.4836194394689101,0.6979873131693779,0.5079677197141668,0.009420665038272939,0.5358161382318403,0.5508982035928144,0.0785939245214149,0.033193971240749784,1.964905512667148,0.7195611866278069,0.7429102163448512,1.6457466121031858,0.04003392773857369,0.19406539350283852,0.1309480588198451,0.3250134546205262,0.0,0.7023334209792711,0.4940830142559292,0.009662497127569863,0.5521806853582555,0.5304347826086957,0.08191775707377942,0.03194506256559066,0.7165109034267912,0.6962074088445702,0.7199107559524989,0.704533803577597,0.0001
4,1.8908771836823655,0.6018557414834961,0.616630787508257,1.4952144016657194,0.0359205740949708,0.28880118410500016,0.26077455078588974,0.5495757355303638,0.39335126690022837,0.6954149401961828,0.5012415224844688,0.008634962415925969,0.5767488676396578,0.5208333333333334,0.06927407941666357,0.031101776172082655,1.8908854615279818,0.6901156218995187,0.6956661202454493,1.5754047439105785,0.04380851637606866,0.19105847008131746,0.1388820571320079,0.32994052647058836,0.0,0.6979983051617941,0.47456021345803673,0.010737910143349079,0.5459501557632399,0.5575221238938053,0.08480085412506966,0.0339457060023558,0.735202492211838,0.7142695512822265,0.7297591042513158,0.71948311935591,0.0001
5,1.6171857823543232,0.4910906314089922,0.5091167569880397,1.3427631001487672,0.03444137173253125,0.24681374388160252,0.1971610194327417,0.4439747634999525,0.3233764089820189,0.6966524710192854,0.492901429983918,0.008216299341806807,0.5841301795000838,0.5717884130982368,0.06259739106927849,0.029594221843873742,2.00623414115371,0.7566977380963501,0.7582180003325144,1.602551129376777,0.03640297285028707,0.20352254260180525,0.1667893659845691,0.37031190700805816,0.0,0.6991007820096714,0.4778301542584213,0.008765511848730175,0.5809968847352025,0.5233644859813084,0.07580733777601134,0.028562733432867117,0.6993769470404985,0.6812527685927474,0.7032666476279701,0.6854293543121445,0.0001
6,1.4341316221544675,0.4301653393581597,0.4462235475862372,1.2198023038949568,0.03166351309322687,0.21710872694142533,0.1473696608976907,0.36447838771225244,0.2745743288482481,0.6964626945099001,0.4826934061965733,0.007635346149549598,0.5819493373595035,0.6,0.056227304764294946,0.027828697344713608,1.9704999325802763,0.7431639699364005,0.7728503672319038,1.556027121261644,0.04202723173523246,0.20375835630938272,0.15887339167134412,0.3626317468666213,0.0,0.7059121254448578,0.4843703377469678,0.010136837819075949,0.5615264797507789,0.5909090909090909,0.08611921704198303,0.029634763050034006,0.7204049844236761,0.7005722700460671,0.7221396931376809,0.7063282540192336,0.0001
7,1.2897787411287713,0.38129599819125753,0.3987742856512372,1.1142204299186664,0.03054053190332534,0.18609050726694581,0.12555945480129568,0.3116499608274155,0.23165286387660758,0.6963463888394714,0.47600693945225964,0.00736630658427357,0.5772521389028686,0.5833333333333334,0.05166941400642539,0.026237013194237498,2.007326281702036,0.7645462198977901,0.7742125924873946,1.5898029949063452,0.04582321910750457,0.2092663836433346,0.1488269130667422,0.35809329178944416,0.0,0.7069645002252216,0.46001710291267184,0.01103157868067246,0.5545171339563862,0.5360824742268041,0.08538259342224867,0.03059699019041702,0.7242990654205608,0.7123396442761357,0.7235392528599672,0.712418369252332,0.0001
8,1.1144405870484817,0.31337272702292734,0.328138114219243,1.0078830859981474,0.030929919573181707,0.15148172424092196,0.09692361337991405,0.24840533676997983,0.1822039695293201,0.6957573661806599,0.48495221372729397,0.0073946441811529404,0.5841301795000838,0.5806451612903226,0.04685899320293182,0.02476280562338817,2.077416409584592,0.8001660916292779,0.809545756500458,1.5782557135430453,0.04183897538534206,0.24394232840668933,0.17858012229482703,0.42252245001390437,0.0,0.7029091712098998,0.4804909912828716,0.010064664647789356,0.5747663551401869,0.625,0.08286098230811174,0.026563202320531266,0.7305295950155763,0.7059049676094836,0.7234962291756402,0.7122557045356472,5e-05
9,0.9685613107929252,0.2593968051219023,0.2771196506893729,0.9111726976364896,0.027571110619174877,0.12253416590317597,0.07478578646001814,0.1973199526888875,0.13405034401293264,0.6947611935125504,0.47632704319479563,0.006626934470738566,0.5883241066935078,0.6220472440944882,0.040888247479010355,0.022817350675664008,2.0217665976081682,0.7721531718412292,0.7890697837432968,1.566843025409544,0.04121141305129476,0.2297299093540723,0.1589457155945145,0.3886756245365999,0.0,0.704655299676913,0.4690544141740814,0.009956597109524337,0.5693146417445483,0.5757575757575758,0.08020970094539705,0.026297460733839994,0.7437694704049844,0.7265280714087687,0.7322290553130688,0.72847812855401,5e-05
10,0.8660571630059862,0.22250800226943002,0.23381638323434786,0.8524041453417346,0.025925140068743666,0.09749295761987799,0.05604592094047609,0.15353887831278845,0.09921627651233395,0.6960941187748672,0.4906858157924589,0.00617508249911162,0.6056030867304144,0.6192893401015228,0.037603329484823166,0.021495400005434973,2.034947663081398,0.7712970874112715,0.7971096401831071,1.5680159389787003,0.03962679743488258,0.23852821824219184,0.17337020558545893,0.41189842408876925,0.0,0.7045329344978214,0.5039720634619395,0.009603652937977486,0.5661993769470405,0.6666666666666666,0.08412384706441633,0.026476070534686185,0.7383177570093458,0.7192307772587425,0.7313224442042092,0.7217031270916945,5e-05
