image_id,split_group_id,true_label,gate,direct_true_probability,mapped_true_probability,fused_true_probability,hard_oracle_gate,soft_oracle_gate,routing_regret_nll
VTM-000010,DG-de799a8fec64,target_mineral,0.493287980556488,0.001430848380551,0.002770440187305,0.002109635621309,0,0.035444736480713,0.272490978240967
VTM-000021,DG-02d77b36654c,target_mineral,0.477778106927872,0.979563653469086,0.984208822250366,0.981989502906799,0,0.494086712598801,0.002257471904159
VTM-000025,DG-834694a900f8,target_mineral,0.502760231494904,0.828857481479645,0.677149832248688,0.753422379493713,1,0.733172476291656,0.095422223210335
VTM-000028,DG-1d76694ca56a,target_mineral,0.529970288276672,0.98906683921814,0.974535465240479,0.982236683368683,1,0.518492817878723,0.006929609924555
VTM-000068,DG-eb8aface81ea,target_mineral,0.518758416175842,0.163221225142479,0.528836727142334,0.339170604944229,0,0.002792932791635,0.444176554679871
VTM-000084,DG-f28e29d399dc,target_mineral,0.533144235610962,0.999891996383667,0.999937772750854,0.999913334846497,0,0.499942779541016,0.000024439723347
VTM-000086,DG-65665907131c,target_mineral,0.584002137184143,0.99994969367981,0.999873042106628,0.999917805194855,1,0.500095784664154,0.000031890594983
VTM-000094,DG-0d3035211918,target_mineral,0.466489225625992,0.999674677848816,0.999986827373505,0.999841213226318,0,0.499609768390656,0.000145626661833
VTM-000099,DG-0cb77f3a3394,target_mineral,0.440132111310959,0.764293313026428,0.921842277050018,0.852499902248383,0,0.281483948230743,0.078201048076153
VTM-000100,DG-134c1cda5ae8,target_mineral,0.511323213577271,0.92101114988327,0.832102656364441,0.877563655376434,1,0.624239385128021,0.048322647809982
VTM-000106,DG-97b93373f548,target_mineral,0.587124586105347,0.978638350963593,0.833480000495911,0.918706059455872,1,0.69056499004364,0.063195943832397
VTM-000121,DG-947c4a2d49b1,target_mineral,0.494058579206467,0.671715557575226,0.561467230319977,0.61593633890152,1,0.710210740566254,0.086691379547119
VTM-000125,DG-92cd703d8751,target_mineral,0.483541309833527,0.996635496616364,0.959431111812592,0.977420926094055,1,0.547412812709808,0.019467707723379
VTM-000128,DG-73af3e0fd0e5,target_mineral,0.487855434417725,0.837884485721588,0.898075640201569,0.868711054325104,0,0.414141565561295,0.033243730664253
VTM-000140,DG-93845f92f943,target_mineral,0.510006487369537,0.98583996295929,0.996148109436035,0.990890860557556,0,0.487000554800034,0.005291553214192
VTM-000144,DG-7b8d80377985,target_mineral,0.469196736812592,0.962208330631256,0.924787998199463,0.942345499992371,1,0.549421191215515,0.020859006792307
VTM-000148,DG-6b6127386ae0,target_mineral,0.488947153091431,0.993874132633209,0.987656831741333,0.990696787834167,1,0.507843434810638,0.003202049527317
VTM-000151,DG-f6ec95d06e37,target_mineral,0.517881393432617,0.879721760749817,0.888129234313965,0.883775115013123,0,0.48811274766922,0.004914633929729
VTM-000155,DG-41c3f25eedcf,target_mineral,0.51725697517395,0.094423726201057,0.056483421474695,0.076108306646347,1,0.928854525089264,0.215634822845459
VTM-000158,DG-ac0a79840c69,target_mineral,0.510721862316132,0.100421011447906,0.363799303770065,0.229286253452301,0,0.001599995186552,0.461631059646606
VTM-000168,DG-9549f16ca6f8,target_mineral,0.449795514345169,0.00033403179259,0.00037106659147,0.000354408519343,0,0.371513962745667,0.045931339263916
VTM-000174,DG-3c8051956848,target_mineral,0.508859634399414,0.999039173126221,0.999907433986664,0.999465584754944,0,0.49891409277916,0.000441987795057
VTM-000178,DG-7a19944a6977,target_mineral,0.441016107797623,0.002556827384979,0.002166172023863,0.002338457386941,1,0.696149587631226,0.08927583694458
VTM-000181,DG-bcfe127ab507,target_mineral,0.476495116949081,0.995011806488037,0.990751028060913,0.992781281471252,1,0.505363941192627,0.002244223374873
VTM-000186,DG-8de210fffeaa,target_mineral,0.556661486625671,0.000014975691556,0.000022521946448,0.000018321237803,0,0.115035176277161,0.206429481506348
VTM-000191,DG-2100b8d4655a,target_mineral,0.474134206771851,0.37819367647171,0.664348185062408,0.528672575950623,0,0.056412436068058,0.228437066078186
VTM-000195,DG-92c6b940c46e,target_mineral,0.543723464012146,0.999444425106049,0.997904658317566,0.998741865158081,1,0.501927256584167,0.0007031976711
VTM-000198,DG-7401df8c67d6,target_mineral,0.494644343852997,0.005962755996734,0.006505922414362,0.006237247958779,0,0.3927181661129,0.042173862457275
VTM-000227,DG-4630e0da03c1,target_mineral,0.505368828773499,0.945431411266327,0.889264404773712,0.917649507522583,1,0.575965642929077,0.029825821518898
VTM-000235,DG-7b45371666b6,target_mineral,0.459081590175629,0.032149259001017,0.00937573518604,0.019830640405416,1,0.997895002365112,0.483161211013794
VTM-000245,DG-1fb802e22fc8,target_mineral,0.458148330450058,0.155079692602158,0.017067836597562,0.080297738313675,1,0.999983906745911,0.65819776058197
VTM-000250,DG-cff71e195439,target_mineral,0.547936677932739,0.98885452747345,0.974045217037201,0.982159733772278,1,0.518852889537811,0.006793272681534
VTM-000253,DG-d78ae7856456,target_mineral,0.527247846126556,0.977931201457977,0.923454463481903,0.952177226543427,1,0.571160912513733,0.026688143610954
VTM-000255,DG-87ae78ae448b,target_mineral,0.484759271144867,0.97939932346344,0.994267702102661,0.987060070037842,0,0.481175065040588,0.007275589741766
VTM-000257,DG-5049063dc2ef,target_mineral,0.52139413356781,0.150673449039459,0.069996275007725,0.112060882151127,1,0.978821516036987,0.296072721481323
VTM-000264,DG-da94223b5a67,target_mineral,0.485701441764832,0.00042995766853,0.015402840450406,0.008130489848554,0,0.000000016948226,0.638930797576904
VTM-000269,DG-22f5c2a57f9b,target_mineral,0.531467616558075,0.778846979141235,0.675482034683228,0.730417132377625,1,0.670829772949219,0.064198806881905
VTM-000271,DG-2ad0853858a5,target_mineral,0.442938327789307,0.956131815910339,0.960719227790833,0.958687305450439,0,0.494017273187637,0.002117242664099
VTM-000274,DG-4ef8af2130d1,target_mineral,0.521518051624298,0.287418156862259,0.187069967389107,0.239403367042542,1,0.895414054393768,0.182788372039795
VTM-000275,DG-01acb20ce6af,target_mineral,0.469913810491562,0.117344193160534,0.111727319657803,0.114366762340069,1,0.561007142066956,0.025700807571411
